Warning: Design 'ALU_v1_Nbit32' has '1' unresolved references. For more detailed information, use the "link" command. (UID-341)
 
****************************************
Report : timing
        -path full
        -delay max
        -max_paths 1
        -sort_by group
Design : ALU_v1_Nbit32
Version: Z-2007.03-SP1
Date   : Thu Oct 19 01:04:43 2017
****************************************

Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

  Startpoint: A[0] (input port)
  Endpoint: ALUout[31] (output port)
  Path Group: (none)
  Path Type: max

  Des/Clust/Port     Wire Load Model       Library
  ------------------------------------------------
  ALU_v1_Nbit32      5K_hvratio_1_1        NangateOpenCellLibrary

  Point                                                   Incr       Path
  --------------------------------------------------------------------------
  input external delay                                    0.00       0.00 f
  A[0] (in)                                               0.00       0.00 f
  MUL/a[0] (BoothMulWallace_Nbit32)                       0.00       0.00 f
  MUL/U387/ZN (INV_X1)                                    0.05       0.05 r
  MUL/add_72/A[0] (BoothMulWallace_Nbit32_DW01_inc_0)     0.00       0.05 r
  MUL/add_72/U33/ZN (NAND2_X1)                            0.05       0.09 f
  MUL/add_72/U31/ZN (NOR3_X1)                             0.09       0.18 r
  MUL/add_72/U30/ZN (NAND2_X1)                            0.04       0.22 f
  MUL/add_72/U29/ZN (NOR2_X1)                             0.06       0.28 r
  MUL/add_72/U28/ZN (NAND2_X1)                            0.04       0.32 f
  MUL/add_72/U27/ZN (NOR2_X1)                             0.06       0.38 r
  MUL/add_72/U26/ZN (NAND2_X1)                            0.04       0.42 f
  MUL/add_72/U24/ZN (NOR2_X1)                             0.07       0.49 r
  MUL/add_72/U19/ZN (NAND3_X1)                            0.05       0.54 f
  MUL/add_72/U17/ZN (NOR2_X1)                             0.06       0.60 r
  MUL/add_72/U14/ZN (NAND2_X1)                            0.04       0.64 f
  MUL/add_72/U12/ZN (NOR2_X1)                             0.05       0.69 r
  MUL/add_72/U11/Z (XOR2_X1)                              0.06       0.75 r
  MUL/add_72/SUM[15] (BoothMulWallace_Nbit32_DW01_inc_0)
                                                          0.00       0.75 r
  MUL/U256/ZN (AND2_X1)                                   0.04       0.79 r
  MUL/U31/ZN (AOI211_X4)                                  0.08       0.87 f
  MUL/U4/ZN (NOR2_X4)                                     0.23       1.10 r
  MUL/CSA0/A[15] (CSA_N32_0)                              0.00       1.10 r
  MUL/CSA0/st0_15/A (FA_497)                              0.00       1.10 r
  MUL/CSA0/st0_15/U4/Z (XOR2_X1)                          0.11       1.21 r
  MUL/CSA0/st0_15/U1/Z (XOR2_X1)                          0.09       1.30 r
  MUL/CSA0/st0_15/S (FA_497)                              0.00       1.30 r
  MUL/CSA0/sum_out[15] (CSA_N32_0)                        0.00       1.30 r
  MUL/CSA5/A[15] (CSA_N32_9)                              0.00       1.30 r
  MUL/CSA5/st0_15/A (FA_337)                              0.00       1.30 r
  MUL/CSA5/st0_15/U4/Z (XOR2_X1)                          0.09       1.39 r
  MUL/CSA5/st0_15/U1/Z (XOR2_X1)                          0.09       1.47 r
  MUL/CSA5/st0_15/S (FA_337)                              0.00       1.47 r
  MUL/CSA5/sum_out[15] (CSA_N32_9)                        0.00       1.47 r
  MUL/CSA8/A[15] (CSA_N32_6)                              0.00       1.47 r
  MUL/CSA8/st0_15/A (FA_241)                              0.00       1.47 r
  MUL/CSA8/st0_15/U4/Z (XOR2_X1)                          0.09       1.56 r
  MUL/CSA8/st0_15/U1/Z (XOR2_X1)                          0.09       1.64 r
  MUL/CSA8/st0_15/S (FA_241)                              0.00       1.64 r
  MUL/CSA8/sum_out[15] (CSA_N32_6)                        0.00       1.64 r
  MUL/CSA10/A[15] (CSA_N32_4)                             0.00       1.64 r
  MUL/CSA10/st0_15/A (FA_177)                             0.00       1.64 r
  MUL/CSA10/st0_15/U4/Z (XOR2_X1)                         0.09       1.73 r
  MUL/CSA10/st0_15/U1/Z (XOR2_X1)                         0.09       1.81 r
  MUL/CSA10/st0_15/S (FA_177)                             0.00       1.81 r
  MUL/CSA10/sum_out[15] (CSA_N32_4)                       0.00       1.81 r
  MUL/CSA12/A[15] (CSA_N32_2)                             0.00       1.81 r
  MUL/CSA12/st0_15/A (FA_113)                             0.00       1.81 r
  MUL/CSA12/st0_15/U4/Z (XOR2_X1)                         0.09       1.90 r
  MUL/CSA12/st0_15/U1/Z (XOR2_X1)                         0.09       1.98 r
  MUL/CSA12/st0_15/S (FA_113)                             0.00       1.98 r
  MUL/CSA12/sum_out[15] (CSA_N32_2)                       0.00       1.98 r
  MUL/CSA13/A[15] (CSA_N32_1)                             0.00       1.98 r
  MUL/CSA13/st0_15/A (FA_81)                              0.00       1.98 r
  MUL/CSA13/st0_15/U4/Z (XOR2_X1)                         0.09       2.07 r
  MUL/CSA13/st0_15/U1/Z (XOR2_X1)                         0.13       2.20 r
  MUL/CSA13/st0_15/S (FA_81)                              0.00       2.20 r
  MUL/CSA13/sum_out[15] (CSA_N32_1)                       0.00       2.20 r
